the|는
shipping|배송
reserved|예약됨
subject|주제
between|사이에
forum|포럼
family|가족
long|긴
based|기반
code|코드
show|쇼
even|심지어
black|검정색
check|확인
special|특별한
prices|가격
website|웹사이트
index|색인
being|존재
women|여자들
much|많이
sign|기호
file|파일
link|링크
open|열다
today|오늘
technology|기술
south|남쪽
case|케이스
project|프로젝트
same|같은
pages|페이지
version|버전
section|섹션
own|자신의
found|발견
sports|스포츠
house|집
related|관련
security|보안
both|둘 다
county|카운티
american|미국 사람
photo|사진
game|게임
members|회원
power|힘
while|동안
care|배려
network|네트워크
down|아래로
computer|컴퓨터
systems|시스템
three|세
total|합계
place|장소
end|끝
following|다음
download|다운로드
him|그 사람
without|없이
per|당
access|접근하다
think|생각하다
north|북쪽
resources|자원
current|현재
posts|게시물
big|큰
media|미디어
law|법
control|제어
water|물
history|역사
pictures|그림
size|크기
art|예술
personal|개인
since|이후
including|포함하여
guide|가이드
shop|가게
directory|디렉토리
board|보드
location|위치
change|변화
white|흰색
text|텍스트
small|작은
rating|등급
rate|비율
government|정부
children|아이들
during|동안
usa|미국
return|반환
students|학생
shopping|쇼핑
account|계정
times|배
sites|사이트
level|레벨
digital|디지털
profile|프로필
previous|이전
form|형태
events|이벤트
love|사랑
old|늙은
john|존
main|메인
call|전화
hours|시간
image|이미지
department|부서
title|제목
description|설명
non|비
insurance|보험
another|또 다른
why|왜
shall|한다
property|재산
class|수업
still|아직도
money|돈
quality|품질
every|모든
listing|목록
content|내용
country|국가
private|비공개
little|조금
visit|방문하다
save|저장
tools|도구
low|낮음
reply|답장하다
customer|고객
december|12월
compare|비교하다
movies|영화
include|포함하다
college|대학
value|가치
article|기사
york|요크
man|남자
card|카드
jobs|직업
provide|제공하다
food|음식
source|출처
author|저자
different|다른
press|언론
learn|배우다
sale|판매
around|주위에
print|인쇄
course|코스
job|직업
canada|캐나다
process|프로세스
teen|비탄
room|방
stock|주식
training|훈련
too|너무
credit|신용
point|포인트
join|가입하다
science|과학
men|남자들
categories|카테고리
advanced|고급
west|서쪽
sales|판매
look|봐
english|영어
left|왼쪽
team|팀
estate|재산
box|상자
conditions|조건
select|선택하다
windows|창문들
photos|사진
gay|게이
thread|실
week|주
category|카테고리
note|참고
live|라이브
large|큰
gallery|갤러리
table|테이블
register|등록하다
however|그러나
june|6월
october|10월
november|11월
market|시장
library|도서관
really|정말로
action|행동
start|시작
series|시리즈
model|모델
features|특징
air|공기
industry|산업
plan|계획
human|인간의
provided|제공
yes|응
required|필수
second|둘째
hot|뜨거운
accessories|액세서리
cost|비용
movie|영화
forums|포럼
march|행진
september|9월
better|더 나은
say|말하다
questions|질문
july|7월
yahoo|야후
going|가다
medical|의료
test|테스트
friend|친구
come|오다
dec|12월
server|서버
study|공부하다
application|신청
cart|카트
staff|직원
articles|기사
san|산
feedback|피드백
again|다시
play|놀이
looking|찾고
issues|문제
april|4월
never|결코
users|사용자
complete|완료
street|거리
topic|주제
comment|코멘트
financial|금융
things|것들
working|일하는
against|반대하다
standard|표준
tax|세금
person|사람
below|아래
mobile|모바일
less|덜
got|얻었다
blog|블로그
party|파티
payment|결제
equipment|장비
login|로그인
student|학생
let|하자
programs|프로그램
offers|제안
legal|법적
above|위에
recent|최근
park|공원
stores|상점
side|측면
act|행위
problem|문제
red|빨간색
give|주다
memory|기억
performance|성능
social|사회적
august|8월
quote|인용문
language|언어
story|이야기
sell|팔다
options|옵션
experience|경험
rates|요금
create|창조하다
key|열쇠
body|몸
young|젊은
america|미국
important|중요한
field|필드
few|거의
east|동쪽
paper|종이
single|싱글
age|나이
activities|활동
club|클럽
example|예
girls|여자애들
additional|추가
password|비밀번호
latest|최신
something|뭔가
road|도로
gift|선물
question|질문
changes|변화
night|밤
hard|열심히
texas|텍사스
oct|10월
pay|지불하다
four|네
poker|포커
status|상태
browse|찾아보기
issue|문제
range|범위
building|건물
seller|판매자
court|법원
february|2월
always|항상
result|결과
audio|오디오
light|빛
write|쓰다
war|전쟁
nov|11월
offer|제안
blue|파란색
groups|그룹
easy|쉬운
given|주어진
files|파일
event|이벤트
release|릴리스
analysis|분석
request|요청
fax|팩스
china|중국
making|만들기
picture|그림
needs|필요
possible|가능
might|어쩌면
professional|전문적인
yet|아직
month|달
major|전공
star|별
areas|지역
future|미래
space|공간
committee|위원회
hand|손
sun|태양
cards|카드
problems|문제
london|런던
washington|워싱턴
meeting|회의
become|되다
interest|관심
child|아이
keep|유지하다
enter|들어가다
california|캘리포니아
share|공유하다
similar|비슷한
garden|정원
schools|학교
million|백만
added|추가됨
reference|참조
companies|회사
listed|나열된
baby|아기
learning|학습
energy|에너지
run|달리다
delivery|배달
net|그물
popular|인기있는
term|용어
film|영화
stories|이야기
put|넣어
computers|컴퓨터
journal|일지
reports|보고서
try|시도하다
welcome|환영합니다
central|중앙
images|이미지
president|대통령
notice|공지
original|원본
head|머리
radio|라디오
until|까지
cell|세포
color|색깔
self|자기
council|의회
away|떨어져
includes|포함
track|트랙
australia|호주
discussion|토론
archive|아카이브
once|한 번
others|다른 사람
entertainment|엔터테인먼트
agreement|합의
format|형식
least|최소한
society|사회
months|개월
log|로그
safety|안전
friends|친구
sure|물론이죠
faq|자주 묻는 질문
trade|무역
edition|에디션
cars|자동차
messages|메시지
marketing|마케팅
tell|말하다
further|더 나아가
updated|업데이트됨
association|협회
able|할 수 있는
having|데
provides|제공한다
david|데이비드
fun|재미
already|이미
green|녹색
studies|연구
close|닫기
common|공통의
drive|드라이브
specific|특정한
several|여러
gold|금
feb|2월
living|생활
sep|9월
collection|컬렉션
called|전화하다
short|짧은
arts|예술
lot|많이
ask|묻다
display|디스플레이
limited|제한된
powered|전원이 공급되는
solutions|솔루션
means|의미한다
director|감독
daily|매일
beach|해변
past|과거
natural|자연스러운
whether|여부
due|기한
electronics|전자 제품
five|다섯
upon|~에
period|기간
planning|계획
database|데이터베이스
says|라고
official|공식
weather|날씨
mar|마르
land|땅
average|평균
done|완료
technical|기술적
window|창문
france|프랑스
pro|프로
region|지역
island|섬
record|기록
direct|직접
microsoft|마이크로소프트
conference|회의
environment|환경
records|기록
district|지구
calendar|달력
costs|비용
style|스타일
url|URL
front|앞
statement|성명서
update|업데이트
parts|부품
aug|8월
ever|적
downloads|다운로드
early|일찍
miles|마일
sound|소리
resource|자원
present|현재
applications|애플리케이션
either|어느 쪽이든
ago|전
document|문서
word|단어
works|작품
material|재료
bill|계산서
apr|4월
written|쓰여진
talk|이야기
federal|연방
hosting|호스팅
rules|규칙
final|최종
adult|성인
tickets|티켓
thing|것
centre|센터
requirements|요구 사항
via|통해
cheap|싼
kids|아이들
finance|금융
true|사실
minutes|분
else|그렇지 않으면
mark|마크
third|세 번째
rock|록
gifts|선물
europe|유럽
reading|독서
topics|주제
bad|나쁜
individual|개인
tips|팁
plus|플러스
auto|자동
cover|커버
usually|보통
edit|편집하다
together|함께
videos|비디오
percent|퍼센트
fast|빨리
function|기능
fact|사실
unit|단위
getting|점점
global|글로벌
tech|기술
meet|만나다
far|멀리
economic|경제적
player|플레이어
projects|프로젝트
lyrics|가사
often|자주
subscribe|구독하다
submit|제출하다
germany|독일
amount|금액
watch|시계
included|포함됨
feel|느낌
though|그래도
bank|은행
risk|위험
thanks|감사합니다
everything|모든 것
deals|거래
various|다양한
words|단어
linux|리눅스
jul|7월
production|생산
commercial|상업
james|제임스
weight|무게
town|마을
heart|심장
advertising|광고
received|받은
choose|선택하다
treatment|치료
newsletter|뉴스레터
archives|아카이브
points|포인트
knowledge|지식
magazine|잡지
error|오류
camera|카메라
jun|준
girl|소녀
currently|현재
construction|건설
toys|장난감
registered|등록됨
clear|명확한
golf|골프
receive|받다
domain|도메인
methods|방법
chapter|장
makes|만든다
protection|보호
policies|정책
loan|대출
wide|넓은
beauty|아름다움
manager|매니저
india|인도
position|위치
taken|찍은
sort|정렬
listings|목록
models|모델
michael|마이클
known|알려진
half|절반
cases|사례
step|단계
engineering|공학
florida|플로리다
simple|단순한
quick|빨리
none|없음
wireless|무선
license|라이센스
paul|폴
friday|금요일
lake|호수
whole|전체
annual|연간
published|출판됨
later|나중에
basic|기본
sony|소니
shows|쇼
corporate|기업
google|구글
church|교회
method|방법
purchase|구매
customers|고객
active|활성
response|응답
practice|연습
hardware|하드웨어
figure|그림
materials|재료
fire|불
holiday|휴일
chat|채팅
enough|충분히
designed|디자인된
along|함께
among|중
death|죽음
writing|쓰기
speed|속도
countries|국가
loss|손실
face|얼굴
brand|브랜드
discount|할인
higher|더 높은
effects|효과
created|생성됨
remember|기억하다
standards|표준
oil|기름
bit|비트
yellow|노란색
political|정치적
increase|증가하다
advertise|광고하다
kingdom|왕국
base|베이스
near|가까운
environmental|환경
thought|생각
stuff|물건
french|프랑스어
storage|저장
japan|일본
doing|하고
loans|대출
shoes|신발
entry|입장
stay|머무르다
nature|자연
orders|주문
availability|가용성
africa|아프리카
summary|요약
turn|회전
mean|뜻
growth|성장
notes|메모
agency|대리점
king|왕
monday|월요일
european|유럽의
activity|활동
copy|복사
although|그래도
drug|마약
pics|사진
western|서부의
income|소득
force|힘
cash|현금
employment|취업
overall|전반적으로
bay|만
river|강
commission|커미션
package|패키지
contents|내용
seen|본
players|플레이어
engine|엔진
port|항구
album|앨범
regional|지역
stop|중지
supplies|용품
started|시작했다
administration|행정
bar|바
institute|연구소
views|조회수
plans|계획
double|더블
dog|개
build|빌드
screen|스크린
exchange|교환
types|종류
soon|곧
sponsored|후원
lines|라인
electronic|전자
continue|계속하다
across|건너편에
benefits|혜택
needed|필요한
season|시즌
apply|적용하다
someone|누군가
held|개최
anything|무엇이든
printer|프린터
condition|상태
effective|효과적인
believe|믿다
organization|조직
effect|효과
asked|물었다
eur|유로
mind|마음
sunday|일요일
selection|선택
casino|카지노
lost|잃어버린
tour|투어
menu|메뉴
volume|볼륨
cross|십자가
anyone|누구라도
mortgage|모기지
hope|희망
silver|은
corporation|법인
wish|소원
inside|내부
solution|솔루션
mature|성숙한
role|역할
rather|오히려
weeks|주
addition|추가
came|왔다
supply|공급
nothing|아무것도
certain|확실한
usr|우리
executive|임원
running|달리기
lower|더 낮은
necessary|필요한
union|노동조합
jewelry|보석
according|따라
clothing|의류
mon|월
com|com
particular|특별한
fine|괜찮아
names|이름
robert|로버트
homepage|홈페이지
hour|시간
gas|가스
skills|기술
six|여섯
bush|부시
islands|섬
advice|조언
career|경력
military|군사
rental|임대
decision|결정
leave|떠나다
british|영국의
teens|십대
pre|미리
huge|거대한
sat|토
woman|여자
facilities|시설
zip|우편번호
bid|입찰
kind|종류
sellers|판매자
middle|중간
move|움직이다
cable|케이블
opportunities|기회
taking|복용
values|가치
division|구분
coming|오는
tuesday|화요일
object|물체
lesbian|레즈비언
appropriate|적절한
machine|기계
logo|로고
length|길이
actually|실제로
nice|좋은
score|점수
statistics|통계
client|클라이언트
returns|반품
capital|자본
follow|팔로우
sample|샘플
investment|투자
sent|보냈습니다
shown|표시됨
saturday|토요일
christmas|크리스마스
england|영국
culture|문화
band|밴드
flash|플래시
lead|리드
george|조지
choice|선택
went|갔다
starting|시작
registration|등록
fri|금
thursday|목요일
courses|코스
consumer|소비자
airport|공항
foreign|외국
artist|예술가
outside|외부
furniture|가구
levels|레벨
channel|채널
letter|편지
mode|모드
phones|전화
ideas|아이디어
wednesday|수요일
structure|구조
fund|기금
summer|여름
allow|허용하다
degree|정도
contract|계약
button|버튼
releases|릴리스
wed|수요일
homes|주택
super|슈퍼
male|남성
matter|문제
custom|관습
virginia|버지니아
almost|거의
took|가져갔다
located|위치한
multiple|여러
asian|아시아의
distribution|유통
editor|편집자
inn|여관
industrial|산업의
cause|원인
potential|잠재력
song|노래
cnet|씨넷
los|로스
focus|초점
late|늦게
fall|가을
featured|특집
idea|아이디어
rooms|방
female|여성
responsible|책임 있는
inc|Inc
communications|통신
win|승리하다
associated|관련된
thomas|토마스
primary|기본
cancer|암
numbers|숫자
reason|이유
tool|도구
browser|브라우저
spring|봄
foundation|기초
answer|대답하다
voice|목소리
friendly|친절한
schedule|일정
documents|문서
communication|의사소통
purpose|목적
feature|특징
bed|침대
comes|온다
police|경찰
everyone|여러분
independent|독립
approach|접근하다
cameras|카메라
brown|갈색
physical|물리적
operating|운영 중
hill|언덕
maps|지도
medicine|의학
deal|거래
hold|보류
ratings|평가
chicago|시카고
forms|양식
glass|유리
happy|행복하다
tue|화요일
smith|대장장이
wanted|구함
developed|개발됨
thank|감사합니다
safe|안전하다
unique|독특한
survey|설문조사
prior|이전
telephone|전화
sport|스포츠
ready|준비
feed|피드
animal|동물
sources|출처
mexico|멕시코
population|인구
regular|일반
secure|안전한
navigation|네비게이션
operations|운영
therefore|그러므로
simply|단순히
evidence|증거
station|역
christian|기독교인
round|둥근
paypal|페이팔
favorite|좋아하는
understand|이해하다
option|옵션
master|마스터
valley|계곡
recently|최근에
probably|아마도
thu|목
rentals|임대
sea|바다
built|내장
publications|출판물
blood|피
cut|절단
worldwide|전세계적으로
improve|개선하다
connection|연결
publisher|출판사
hall|홀
larger|더 큰
anti|안티
networks|네트워크
earth|지구
parents|부모님
nokia|노키아
impact|영향
transfer|환승
introduction|소개
kitchen|부엌
strong|강한
tel|전화
carolina|캐롤라이나
wedding|결혼식
properties|속성
hospital|병원
ground|땅
overview|개요
ship|배
accommodation|숙소
owners|소유자
disease|질병
excellent|훌륭하다
paid|유료
italy|이탈리아
perfect|완벽한
hair|머리카락
opportunity|기회
kit|키트
classic|고전적인
basis|기초
command|명령
cities|도시
william|윌리엄
express|익스프레스
award|수상
distance|거리
tree|나무
peter|피터
assessment|평가
ensure|보장하다
thus|따라서
wall|벽
involved|관련된
extra|추가
especially|특히
interface|인터페이스
partners|파트너
budget|예산
rated|등급
guides|가이드
success|성공
maximum|최대
operation|작동
existing|기존
quite|꽤
selected|선택됨
boy|소년
amazon|아마존
patients|환자
restaurants|레스토랑
beautiful|아름다운
warning|경고
wine|와인
locations|위치
horse|말
vote|투표
forward|앞으로
flowers|꽃
stars|별
significant|중요한
lists|목록
technologies|기술
owner|소유자
retail|소매
animals|동물
useful|유용한
directly|직접
manufacturer|제조업체
ways|방법
est|에스트
son|아들
providing|제공
rule|규칙
mac|맥
housing|주택
takes|걸립니다
iii|iii
bring|가져오다
catalog|카탈로그
searches|검색
max|최대
trying|노력하다
mother|어머니
authority|권위
considered|고려
told|말했다
traffic|교통
programme|프로그램
joined|합류했다
input|입력
strategy|전략
feet|피트
agent|대리인
valid|유효한
bin|빈
modern|현대
senior|선배
ireland|아일랜드
teaching|가르치는
door|문
grand|그랜드
testing|테스트
trial|재판
charge|요금
units|단위
instead|대신
canadian|캐나다 사람
cool|멋지다
normal|정상
wrote|썼다
enterprise|기업
ships|배송
entire|전체
educational|교육적인
leading|선도하는
metal|금속
positive|긍정적인
fitness|피트니스
chinese|중국어
opinion|의견
asia|아시아
football|축구
abstract|추상
uses|용도
output|출력
funds|자금
greater|더 큰
likely|아마도
develop|개발하다
employees|직원
artists|예술가
alternative|대안
processing|처리
responsibility|책임
resolution|해상도
java|자바
guest|손님
seems|것 같다
publication|출판
pass|통과
relations|관계
trust|신뢰
van|밴
contains|포함
session|세션
multi|멀티
photography|사진
republic|공화국
fees|수수료
components|구성 요소
vacation|휴가
century|세기
academic|학문적
assistance|도움
completed|완료
skin|피부
graphics|그래픽
indian|인도 사람
prev|이전
ads|광고
mary|메리
expected|예상됨
ring|반지
grade|등급
dating|데이트
pacific|태평양
mountain|산
organizations|조직
pop|팝
filter|필터
mailing|우편물
vehicle|차량
longer|더 이상
consider|고려하다
int|정수
northern|북부
behind|뒤에
panel|패널
floor|바닥
german|독일 사람
buying|구매
match|경기
proposed|제안
default|기본값
require|요구하다
iraq|이라크
boys|소년들
outdoor|야외
deep|깊은
morning|아침
otherwise|그렇지 않으면
allows|허용한다
rest|휴식
protein|단백질
plant|식물
reported|보고됨
hit|히트
transportation|교통
pool|수영장
mini|미니
politics|정치
partner|파트너
disclaimer|면책조항
authors|작가
boards|보드
faculty|교수진
parties|파티
fish|물고기
membership|회원
mission|임무
eye|눈
string|문자열
sense|감각
modified|수정됨
pack|팩
released|석방됨
stage|무대
internal|내부
goods|상품
recommended|추천
born|태어난
unless|않는 한
richard|리차드
detailed|상세한
japanese|일본어
race|인종
approved|승인됨
background|배경
target|목표
except|제외하고
character|성격
usb|USB
maintenance|유지 보수
ability|능력
maybe|어쩌면
functions|기능
moving|이사
brands|브랜드
places|장소
pretty|예쁜
trademarks|상표
phentermine|펜터민
spain|스페인
southern|남부
yourself|너 자신
etc|등
winter|겨울
battery|배터리
youth|청소년
pressure|압력
submitted|제출됨
boston|보스턴
debt|부채
keywords|키워드
medium|중간
television|텔레비전
interested|관심이 있다
core|핵심
break|휴식
purposes|목적
throughout|전체적으로
sets|세트
dance|댄스
wood|나무
itself|그 자체
defined|정의된
papers|서류
playing|연주하다
awards|상
fee|수수료
studio|스튜디오
reader|독자
virtual|가상
device|장치
established|설립
answers|답변
rent|임대
las|라스
remote|원격
dark|어두운
programming|프로그래밍
external|외부
apple|사과
regarding|에 관하여
instructions|지침
min|분
offered|제공
theory|이론
enjoy|즐기다
remove|제거하다
aid|원조
surface|표면
minimum|최소
visual|시각적
host|호스트
variety|다양성
teachers|교사
isbn|이븐
martin|마틴
manual|매뉴얼
block|블록
subjects|과목
agents|대리인
increased|증가
repair|수리
fair|박람회
civil|시민
steel|강철
understanding|이해
songs|노래
fixed|고정
wrong|틀렸어
beginning|시작
hands|손
associates|동료
finally|마침내
updates|업데이트
desktop|데스크탑
classes|수업
paris|파리
ohio|오하이오
gets|얻다
sector|부문
capacity|용량
requires|필요하다
jersey|저지
fat|지방
fully|완전히
father|아버지
electric|전기
saw|보았다
instruments|악기
quotes|따옴표
officer|장교
driver|운전사
businesses|기업
dead|죽은
respect|존경
unknown|알 수 없음
specified|지정된
restaurant|레스토랑
mike|마이크
trip|여행
worth|가치가 있는
procedures|절차
poor|가난한
teacher|선생님
eyes|눈
relationship|관계
workers|노동자
farm|농장
georgia|조지아
peace|평화
traditional|전통적인
campus|캠퍼스
tom|톰
showing|보여주는
creative|창의적인
coast|해안
benefit|혜택
progress|진행
funding|자금 조달
devices|장치
lord|영주
grant|보조금
sub|서브
agree|동의하다
fiction|소설
hear|듣다
sometimes|가끔
watches|시계
careers|직업
beyond|너머
goes|간다
families|가족
led|주도
museum|박물관
themselves|그들 자신
fan|부채
transport|수송
interesting|흥미로운
blogs|블로그
wife|아내
evaluation|평가
accepted|수락됨
former|전
implementation|구현
ten|10
hits|조회수
zone|구역
complex|복잡한
cat|고양이
galleries|갤러리
references|참고자료
die|죽다
presented|제시
jack|잭
flat|플랫
flow|흐름
agencies|기관
literature|문학
respective|각각의
parent|부모
spanish|스페인 사람
michigan|미시간
columbia|컬럼비아
setting|설정
scale|규모
stand|스탠드
economy|경제
highest|최고
helpful|도움이 되는
monthly|매달
critical|중요한
frame|프레임
musical|뮤지컬
definition|정의
secretary|비서
angeles|앙헬레스
networking|네트워킹
path|경로
australian|호주인
employee|직원
chief|수석
gives|준다
bottom|바닥
magazines|잡지
packages|패키지
detail|세부 사항
francisco|프란시스코
laws|법률
changed|변경됨
pet|애완동물
heard|들었다
begin|시작하다
individuals|개인
colorado|콜로라도
royal|왕실의
clean|깨끗한
switch|스위치
russian|러시아인
largest|가장 큰
african|아프리카 사람
guy|남자
titles|제목
relevant|관련된
guidelines|지침
justice|정의
connect|연결하다
bible|성경
dev|개발자
cup|컵
basket|바구니
applied|적용됨
weekly|매주
vol|권
installation|설치
described|설명
demand|수요
suite|스위트룸
vegas|라스베가스
square|광장
chris|크리스
attention|주의
advance|사전
skip|건너뛰기
diet|다이어트
army|군대
auction|경매
gear|기어
lee|리
difference|차이
allowed|허용됨
correct|맞다
charles|찰스
nation|민족
selling|판매
lots|많이
piece|조각
sheet|시트
firm|확고한
seven|일곱
older|나이가 많은
illinois|일리노이
regulations|규정
elements|요소
species|종
jump|점프
cells|세포
module|모듈
resort|리조트
facility|시설
random|무작위
pricing|가격 책정
certificate|인증서
minister|장관
motion|모션
looks|외모
fashion|패션
directions|방향
visitors|방문자
documentation|문서화
monitor|모니터
trading|거래
forest|숲
calls|전화
whose|누구의
coverage|적용 범위
couple|커플
giving|주는
chance|기회
vision|비전
ball|공
ending|결말
clients|클라이언트
actions|행동
listen|들어봐
discuss|토론하다
accept|받아들이다
automotive|자동차
naked|적나라한
goal|목표
successful|성공하다
sold|팔렸다
wind|바람
communities|커뮤니티
clinical|임상
situation|상황
sciences|과학
markets|시장
lowest|가장 낮은
highly|고도로
publishing|출판
appear|나타나다
emergency|비상사태
developing|개발 중
lives|삶
currency|통화
leather|가죽
determine|결정하다
temperature|온도
palm|손바닥
announcements|공지 사항
patient|환자
actual|실제
historical|역사적인
stone|돌
bob|밥
commerce|상업
ringtones|벨소리
perhaps|아마도
persons|명
difficult|어려운
scientific|과학적
satellite|위성
fit|적합
tests|테스트
village|마을
accounts|계정
amateur|아마추어
met|만났다
pain|고통
xbox|엑스박스
particularly|특히
factors|요인
coffee|커피
settings|설정
buyer|구매자
cultural|문화적
steve|스티브
easily|쉽게
oral|구두의
ford|포드
poster|포스터
edge|가장자리
functional|기능성
root|뿌리
closed|폐쇄
holidays|휴일
ice|얼음
pink|핑크색
zealand|뉴질랜드
balance|균형
monitoring|모니터링
graduate|졸업하다
replies|답글
shot|총
architecture|건축
initial|초기
label|라벨
thinking|생각
scott|스콧
sec|초
recommend|추천하다
canon|정경
league|리그
waste|낭비
minute|분
bus|버스
provider|공급자
optional|선택사항
dictionary|사전
cold|감기
accounting|회계
manufacturing|제조
sections|섹션
chair|의자
fishing|낚시
effort|노력
phase|단계
fields|필드
bag|가방
fantasy|판타지
letters|편지
motor|모터
professor|교수
context|맥락
install|설치하다
shirt|셔츠
apparel|의류
generally|일반적으로
continued|계속
foot|발
mass|질량
crime|범죄
count|카운트
breast|유방
techniques|기술
ibm|IBM
johnson|존슨
quickly|빨리
dollars|달러
websites|웹사이트
religion|종교
claim|주장
driving|운전
permission|허가
surgery|수술
patch|패치
heat|열
wild|야생
measures|조치
generation|세대
kansas|캔자스
miss|그리워
chemical|화학
doctor|의사
task|작업
reduce|감소시키다
brought|가져온
himself|자신
nor|도 아니다
component|구성 요소
enable|활성화
exercise|운동
bug|버그
santa|산타
mid|중반
guarantee|보증
leader|리더
diamond|다이아몬드
israel|이스라엘
processes|프로세스
soft|부드러운
servers|서버
alone|혼자
meetings|회의
seconds|초
jones|존스
arizona|애리조나
keyword|키워드
interests|관심사
flight|비행
congress|의회
fuel|연료
username|사용자 이름
walk|걷다
produced|생산
italian|이탈리아 사람
paperback|단행본
classifieds|구인 광고
wait|잠깐
supported|지원됨
pocket|주머니
saint|성자
rose|장미
freedom|자유
argument|논쟁
competition|경쟁
creating|창조
jim|짐
drugs|마약
joint|관절
premium|프리미엄
providers|공급자
fresh|신선한
characters|캐릭터
attorney|변호사
upgrade|업그레이드
factor|요인
growing|성장하는
thousands|수천
stream|스트림
apartments|아파트
pick|고르다
hearing|청각
eastern|동부
auctions|경매
therapy|치료
entries|항목
dates|날짜
generated|생성됨
signed|서명됨
upper|상부
administrative|행정
serious|심각한
prime|프라임
samsung|삼성
limit|한도
began|시작했다
louis|루이스
steps|단계
errors|오류
shops|상점
del|델
efforts|노력
informed|정보를
thoughts|생각
creek|작은 만
worked|일했다
quantity|수량
urban|도시의
practices|관행
sorted|정렬됨
reporting|보고
essential|본질적인
myself|나 자신
tours|투어
platform|플랫폼
load|부하
affiliate|제휴사
labor|노동
immediately|즉시
admin|관리자
nursing|간호
defense|방어
machines|기계
designated|지정된
tags|태그
heavy|무거운
covered|덮여
recovery|회복
joe|조
guys|얘들아
integrated|통합
configuration|구성
merchant|상인
comprehensive|포괄적인
expert|전문가
universal|보편적인
protect|보호하다
drop|드롭
solid|고체
presentation|프레젠테이션
languages|언어
became|되었다
orange|오렌지
compliance|규정 준수
vehicles|차량
prevent|예방하다
theme|테마
rich|부자
campaign|캠페인
marine|해양
improvement|개선
guitar|기타
finding|발견
pennsylvania|펜실베니아
examples|예
ipod|아이팟
saying|말하는
spirit|정신
claims|주장
challenge|도전
motorola|모토로라
acceptance|수용
strategies|전략
seem|것 같다
affairs|사무
touch|접촉
intended|의도한
towards|쪽으로
goals|목표
hire|고용하다
election|선거
suggest|제안하다
branch|가지
charges|요금
serve|봉사하다
affiliates|계열사
reasons|이유
magic|마법
mount|마운트
smart|똑똑한
talking|말하는
gave|준
ones|것들
latin|라틴어
multimedia|멀티미디어
avoid|피하다
certified|인증됨
manage|관리하다
corner|코너
rank|순위
computing|컴퓨팅
oregon|오레곤
element|요소
birth|출생
virus|바이러스
abuse|남용
interactive|대화형
requests|요청
separate|별도의
quarter|분기
procedure|절차
leadership|리더십
tables|테이블
define|정의하다
racing|경주
religious|종교적인
facts|사실
breakfast|아침 식사
kong|콩
column|기둥
plants|식물
faith|믿음
chain|체인
developer|개발자
identify|식별하다
avenue|거리
missing|실종
died|사망
approximately|대략
domestic|국내
sitemap|사이트맵
recommendations|추천
moved|이사했다
houston|휴스턴
reach|도달하다
comparison|비교
mental|정신적
viewed|본
moment|순간
extended|확장됨
sequence|순서
inch|인치
attack|공격
sorry|미안
centers|센터
opening|오프닝
damage|손상
lab|실험실
reserve|예비
recipes|조리법
gamma|감마
